Latin Name,Common Name,Community,Vegetation Type
Hieracium gronovii,hairy hawkweed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Houstonia purpurea,summer bluets,Piedmont Acidic Oak Hickory Woodland,flowering forb
Hylodesmum nudiflorum,naked-flowered tick-trefoil,Piedmont Acidic Oak Hickory Woodland,flowering forb
Hypericum gentianoides,pineweed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Hypericum hypericoides var. multicaule,low st. Andrew's cross,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Hypericum punctatum,spotted st. John's wort,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Ilex verticillata,winterberry,Piedmont Prairie (acidic wet variant),shrub
Impatiens capensis,orange jewelweed,Piedmont Prairie (acidic wet variant),flowering forb
Ipomoea pandurata,wild potato-vine,Piedmont Prairie (acidic wet variant),flowering forb
Juglans nigra,black walnut,Piedmont Acidic Oak Hickory Woodland,tree
Juncus acuminatus,sharp-fruited rush,Piedmont Prairie (acidic wet variant),graminoid
Juncus effusus,soft rush,Piedmont Prairie (acidic wet variant),graminoid
Juncus tenuis,path rush,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Juncus tenuis,path rush,Piedmont Prairie (acidic wet variant),graminoid
Juniperus virginiana var. virginiana,eastern red cedar,Piedmont Acidic Oak Hickory Woodland,tree
Kalmia latifolia,mountain-laurel,Piedmont Acidic Oak Hickory Woodland,shrub
Lactuca floridana,Florida blue lettuce,Piedmont Acidic Oak Hickory Woodland,flowering forb
Lechea racemulosa,common pinweed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Leersia virginica,white grass,Piedmont Acidic Oak Hickory Woodland,graminoid
Lespedeza procumbens,trailing lespedeza,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Lespedeza repens,creeping lespedeza,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Lespedeza violacea,wand lespedeza,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Lindera benzoin,spicebush,Piedmont Acidic Oak Hickory Woodland,shrub
Liriodendron tulipifera,tuliptree,Piedmont Acidic Oak Hickory Woodland,tree
Lobelia inflata,Indian-tobacco,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Lobelia inflata,Indian tobacco,Piedmont Acidic Oak Hickory Woodland,flowering forb
Ludwigia alternifolia,alternate-leaf seedbox,Piedmont Prairie (acidic wet variant),flowering forb
Lyonia ligustrina,maleberry,Piedmont Prairie (acidic wet variant),shrub
Lysimachia ciliata,fringed loosestrife,Piedmont Prairie (acidic wet variant),flowering forb
Lysimachia quadrifolia,whorled loostrife,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Lysimachia quadrifolia,whorled loosetrife,Piedmont Acidic Oak Hickory Woodland,flowering forb
Maianthemum racemosum,false Solomon's seal,Piedmont Acidic Oak Hickory Woodland,flowering forb
Mimulus ringens,Allegheny monkeyflower,Piedmont Prairie (acidic wet variant),flowering forb
Monotropa uniflora,Indian pipe,Piedmont Acidic Oak Hickory Woodland,parasitic plant
Nyssa sylvatica,blackgum,Piedmont Acidic Oak Hickory Woodland,tree
Oenothera biennis,evening primrose,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Onoclea sensibilis,sensitive fern,Piedmont Prairie (acidic wet variant),fern
Oxalis dillenii,southern yellow wood-sorrel,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Oxalis dillenii,southern yellow wood sorrel,Piedmont Acidic Oak Hickory Woodland,flowering forb
Oxalis stricta,common yellow-wood-sorrel,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Oxalis violacea,violet woodsorrel,Piedmont Acidic Oak Hickory Woodland,flowering forb
Packera anonyma,Small's ragwort,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Panicum dichotomiflorum,fall panic grass,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Parathelypteris noveboracensis,New York fern,Piedmont Acidic Oak Hickory Woodland,fern
Parthenocissus quinquefolia,Virginia-creeper,Piedmont Acidic Oak Hickory Woodland,vine
Paspalum floridanum,Florida paspalum,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Persicaria sagittata,arrow-leaf tearthumb,Piedmont Prairie (acidic wet variant),flowering forb
Phryma leptostachya var. leptostachya,lopseed,Piedmont Acidic Oak Hickory Woodland,flowering forb
Phytolacca americana,pokeweed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Pinus echinata,shortleaf pine,Piedmont Acidic Oak Hickory Woodland,tree
Pinus strobus,white pine,Piedmont Acidic Oak Hickory Woodland,tree
Pinus virginiana,Virginia pine,Piedmont Acidic Oak Hickory Woodland,tree
Plantago virginica,Virginia plantain,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Platanthera lacera,ragged fringed orchid,Piedmont Prairie (acidic wet variant),orchid
Poa autumnalis,autumn bluegrass,Piedmont Acidic Oak Hickory Woodland,graminoid
Podophyllum peltatum,mayapple,Piedmont Acidic Oak Hickory Woodland,flowering forb
Polygala sanguinea,field milkwort,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Polygala verticillata,whorled milkwort,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Polygonatum biflorum,Solomon's seal,Piedmont Acidic Oak Hickory Woodland,flowering forb
Polystichum acrostichoides,Christmas fern,Piedmont Acidic Oak Hickory Woodland,fern
Potentilla canadensis,dwarf cinquefoil,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Potentilla canadensis var. canadensis,dwarf cinquefoil,Piedmont Acidic Oak Hickory Woodland,flowering forb
Potentilla simplex,common cinquefoil,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Potentilla simplex,common cinquefoil,Piedmont Acidic Oak Hickory Woodland,flowering forb
Prenanthes trifoliolata,gall-of-the-earth,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Prunella vulgaris,heal-all,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Prunus serotina,black cherry,Piedmont Acidic Oak Hickory Woodland,tree
Pseudognaphalium obtusifolium,sweet everlasting,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Pteridium aquilinum,bracken fern,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),fern
Pycnanthemum tenuifolium,narrow-leaved mountain mint,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Pynanthemum muticum,broad leaved mountainmint,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Quercus alba,white oak,Piedmont Acidic Oak Hickory Woodland,tree
